task_name,scene,instruction,episode_s,attributes,num_subtasks,difficulty_label
LemonOutOfWoodenBowlTask (lemon_out_of_wooden_bowl.py),ecm_scenes/lemon_lime_in_wooden_bowl.usda,"**default:** Take the lemon out of the wooden bowl and put it on the table<br>**vague:** Take it out of the bowl<br>**referential:** Take that one out<br>**specific:** A lemon and a lime sit inside a wooden bowl. Lift the yellow lemon out of the bowl and set it down on the table, leaving the green lime in the bowl",60,semantics,1,simple
LimeGreenFruitInBowlTask (lime_green_fruit_in_bowl.py),ecm_scenes/green_fruits_bowl.usda,"**default:** Pick up the lime and place it in the red bowl<br>**vague:** Put the green fruit in the bowl<br>**referential:** Put the green one in the bowl<br>**specific:** A lime, a dark avocado and a lemon sit in a row. The lime and the avocado are both green fruit; pick up the small round lime on the left and place it in the red bowl",60,"color, semantics",1,simple
OneBananaInBowlTask (one_banana_in_bowl.py),banana_bowl_3.usda,"**default:** Pick up the banana closest to the bowl and place it in the bowl<br>**vague:** Put the nearest piece of fruit in the bowl<br>**specific:** Three yellow bananas lie on the table. Grasp the one nearest the bowl, on the opposite side of the bowl from the other two, place it inside the bowl and release it",300,"semantics, spatial",1,simple
OrangeFruitInBowlTask (orange_fruit_in_bowl.py),ecm_scenes/fruit_trio_bowl.usda,"**default:** Pick up the orange and place it in the red bowl<br>**vague:** Put the fruit in the bowl<br>**referential:** Put that fruit in the bowl<br>**specific:** An apple, an orange and a lemon sit in a row. Pick up the orange in the middle and place it in the red bowl behind them",60,semantics,1,simple
OrangeInWoodenBowlTask (orange_in_wooden_bowl.py),ecm_scenes/orange_two_bowls.usda,**default:** Put the orange in the wooden bowl<br>**vague:** Put the orange in the bowl<br>**referential:** Put the orange in there<br>**specific:** A small red bowl and a large wooden bowl sit behind an orange. Pick up the orange and place it in the large wooden bowl on the right,60,semantics,1,simple
OrangeJuiceThirstyTask (orange_juice_thirsty.py),ecm_scenes/drinks_table.usda,"**default:** Pick up the orange juice carton and hold it up<br>**vague:** Get me something to drink<br>**referential:** Hand me that carton<br>**intent:** I'm thirsty<br>**specific:** A red milk carton, an orange juice carton and a blue mug are on the table. Grasp the orange juice carton on the right and lift it well clear of the table",45,semantics,1,simple
PickUpDrillToolTask (pick_up_drill_tool.py),ecm_scenes/tools_table.usda,"**default:** Pick up the cordless drill and hold it up<br>**vague:** Pick up the tool<br>**referential:** Hand me that tool<br>**specific:** An orange cordless drill, a claw hammer and a black spring clamp lie on the table. Grasp the orange drill on the left and lift it well clear of the table",45,semantics,1,simple
PickUpThatLemonTask (pick_up_that_lemon.py),ecm_scenes/pick_that_one.usda,"**default:** Pick up the lemon and hold it up<br>**vague:** Pick that up<br>**referential:** Grab that one<br>**specific:** A lemon, a Rubik's cube and a soup can sit on the table. Grasp the yellow lemon on the left and lift it well clear of the table",45,semantics,1,simple
PlaceWhiteFaceUpRubiksCubeTask (place_white_face_up_rubiks_cube.py),ecm_scenes/three_rubiks_cube_bowl.usda,**default:** Pick up the Rubiks Cube with the white face facing up and place it in the bowl<br>**referential:** Put that cube into the bowl<br>**spelling:** Puck that Magic Cube withe the whote surface facing up and place it in the bowl,60,"color, semantics, spatial",1,simple
PutMustardRightBinTask (put_mustard_right_bin.py),ecm_scenes/two_bin_mustard.usda,**default:** Pick up the mustard and put it in the right bin.<br>**referential:** Pick up the yellow stuff and put it in that bin<br>**intent:** I need to use the mustard later.,60,"semantics, spatial",1,simple
PutPumpkinInBinTask (put_pumpkin_in_bin.py),ecm_scenes/clutter_fruit_bottle_bluebin.usda,**default:** Pick up the big and small pumpkins from the table and place them all into the bin<br>**referential:** Put two fruits and place them all into the bin<br>**spelling:** Puck up the pumppins from the table and place them all into the bun.,120,"semantics, size, counting, spatial",2,moderate
RubiksCubeInBinContainerTask (rubiks_cube_in_bin_container.py),ecm_scenes/rubiks_cube_bowl_bin.usda,**default:** Put the rubiks cube in the grey bin<br>**vague:** Put the rubiks cube in the container<br>**referential:** Put the cube in there<br>**specific:** A red bowl and a grey metal bin sit behind a Rubik's cube. Pick up the cube and drop it in the grey metal bin on the right,60,semantics,1,simple
RubiksCubeInBowlTask (rubiks_cube_in_bowl.py),ecm_scenes/rubiks_cube_banana.usda,**default:** Put the rubiks cube into the bowl<br>**vague:** Put it into the bowl<br>**specific:** Put the rubiks at the bottom of the bowl,50,"semantics, spatial",1,simple
SmallPumpkinInWoodenBowlTask (small_pumpkin_in_wooden_bowl.py),ecm_scenes/two_pumpkins_wooden_bowl.usda,"**default:** Pick up the small pumpkin and put it in the wooden bowl<br>**vague:** Put the pumpkin in the bowl<br>**referential:** Put that pumpkin in the bowl<br>**specific:** Two orange pumpkins, one large and one small, sit in front of a wooden bowl. Pick up the smaller pumpkin, on the right, and place it in the wooden bowl",60,"semantics, size",1,simple
SomeBananasInBinTask (some_bananas_in_bin.py),ecm_scenes/bananas_3_bin.usda,"**default:** Put two of the bananas in the bin<br>**vague:** Put some bananas in the bin<br>**referential:** Put a couple of those in the bin<br>**specific:** Three bananas lie in a row in front of the grey bin. Pick up any two of them, one at a time, and drop them in the bin, leaving the third on the table",90,"semantics, counting",2,moderate
SugarBoxItInBinTask (sugar_box_it_in_bin.py),ecm_scenes/sugar_box_spam_bin.usda,**default:** Put the sugar box in the bin<br>**vague:** Put it in the bin<br>**referential:** Put that in the bin<br>**specific:** A yellow Domino sugar box and a blue Spam can sit in front of the grey bin. Pick up the sugar box on the left and drop it in the bin,60,semantics,1,simple
TomatoSoupCanInBinTask (tomato_soup_can_in_bin.py),ecm_scenes/cans_bin.usda,"**default:** Pick up the tomato soup can and put it in the bin<br>**vague:** Put the can in the bin<br>**referential:** Put that can in the bin<br>**specific:** Three cans sit in a row: a tall red tomato soup can, a yellow corn can and a green beans can. Pick up the tall red soup can on the left and drop it in the grey bin",60,semantics,1,simple
TwoApplesLeftInBowlTask (two_apples_left_in_bowl.py),ecm_scenes/two_apples_bowl.usda,"**default:** Pick up the apple on the left and place it in the red bowl<br>**vague:** Put the apple in the bowl<br>**referential:** Put that apple in the bowl<br>**specific:** Two identical apples sit in front of the red bowl. Pick up the one on the left, from the robot's point of view, and place it inside the bowl",60,"semantics, spatial",1,simple
TwoMugsRightInBinTask (two_mugs_right_in_bin.py),ecm_scenes/two_mugs_bin.usda,"**default:** Pick up the mug on the right and put it in the bin<br>**vague:** Put the mug in the bin<br>**referential:** Put that mug in the bin<br>**specific:** Two identical red mugs sit in front of the grey metal bin. Pick up the one on the right, from the robot's point of view, and drop it in the bin",60,"semantics, spatial",1,simple
YellowBlockInBinTask (yellow_block_in_bin.py),ecm_scenes/yellow_items_bin.usda,"**default:** Pick up the yellow block and put it in the bin<br>**vague:** Put the yellow one in the bin<br>**referential:** Put the yellow thing in the bin<br>**specific:** A banana, a yellow cube and a yellow mustard bottle are all yellow; a red cube is the odd one out. Pick up the yellow cube in the middle and drop it in the grey bin",60,"color, semantics",1,simple
